form	lemma	POS	morph
༄༅། །		PUNCT
མཚམས་	མཚམས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ཀྱི་	གི་	PART
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཐོས་པ་	ཐོས་པ་	VERB
འི་	གི་	PART
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱིས་	གིས་	PART
ཕྱི་	ཕྱི་	NOUN
མཚམས་	མཚམས་	NOUN
བཅད་	བཅད་	VERB
།		PUNCT
བསམ་པ་	བསམ་པ་	VERB
འི་	གི་	PART
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱིས་	གིས་	PART
ནང་	ནང་	NOUN
མཚམས་	མཚམས་	NOUN
བཅད་	བཅད་	VERB
།		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱིས་	གིས་	PART
གསང་	གསང་	VERB
མཚམས་	མཚམས་	NOUN
བཅད་པ་	བཅད་པ་	VERB
དེ་དོན་	དེ་དོན་	PRON
དུ་	ལ་	PART
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
ཚོགས་	ཚོགས་	NOUN
དྲུག་	དྲུག་	NUM
དང་	དང་	NO_POS
རེ་	རེ་	DET
དྭོགས་		NON_WORD
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཚམས་	མཚམས་	NOUN
བཅད་	བཅད་	VERB
ན་	ནས་	PART
།		PUNCT
ཟག་མེད་	ཟག་མེད་	ADJ
ཀློང་ཆེན་པོ་	ཀློང་ཆེན་པོ་	PROPN
འི་	གི་	PART
ངང་	ངང་	NOUN
དུ་	ལ་	PART
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
འཇོག་པ་	འཇོག་པ་	VERB
ལ་	ལ་	PART
མཚམས་	མཚམས་	NOUN
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ལགས་	ལགས་	AUX
"།


༈"		PUNCT
བཞག་པ་	བཞག་པ་	VERB
གཞི་	གཞི་	NOUN
ཡིན་	ཡིན་	NO_POS
།		PUNCT
མ་བཅོས་པ་	མ་བཅོས་པ་	NO_POS
ལམ་	གམ་	PART
ཡིན་	ཡིན་	NO_POS
།		PUNCT
མ་གྲུབ་པ་	མ་གྲུབ་པ་	NO_POS
འབྲས་བུ་	འབྲས་བུ་	NOUN
ཡིན་	ཡིན་	NO_POS
།		PUNCT
རེ་དོགས་	རེ་དོགས་	NOUN
བདུད་	བདུད་	NOUN
ཡིན་	ཡིན་	NO_POS
།		PUNCT
ཧད་དེ་བ་	ཧད་དེ་བ་	NO_POS
ཟང་ཐལ་	ཟང་ཐལ་	OTHER
ལེ་	ལེ་	NO_POS
ཟག་མེད་	ཟག་མེད་	ADJ
ཀྱི་	གི་	PART
བདེ་བ་	བདེ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
རེད་	རེད་	VERB
ལགས་	ལགས་	AUX
།		PUNCT
